time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
425119.342210	115.061577	0.026396	4.359053	127
425120.206224	189.401199	0.026323	7.195247	128
425121.364868	109.750168	0.026386	4.159442	129
425122.276585	175.253326	0.026353	6.650165	130
425123.495426	135.244125	0.026412	5.120628	131
425124.379390	202.916077	0.026328	7.707242	132
425125.540744	129.801941	0.026411	4.914671	133
425126.438490	253.189285	0.026331	9.615762	134
425127.651732	138.896286	0.026351	5.270932	135
425128.509884	193.367126	0.026353	7.337651	136
425129.715144	166.420715	0.026388	6.306792	137
425130.605847	253.487015	0.026355	9.618359	138
425131.826699	183.533569	0.026369	6.960243	139
425132.696838	269.516541	0.026331	10.235858	140
425133.890451	153.493256	0.026342	5.826922	141
425134.760826	226.858566	0.026352	8.608684	142
425135.972722	191.587646	0.026394	7.258697	143
425136.886718	211.694916	0.026314	8.045062	144
425138.068077	154.050583	0.026380	5.839760	145
425138.980498	212.303543	0.026358	8.054715	146
425140.128638	227.255493	0.026368	8.618758	147
425141.131969	20.395033	0.026350	0.774007	148
425142.224999	185.344589	0.026377	7.026696	149
425143.124324	223.711304	0.026328	8.497235	150
425144.264775	229.558853	0.026375	8.703735	151
425145.183179	244.620575	0.026318	9.294681	152
425146.386268	185.359238	0.026384	7.025337	153
425147.280070	243.445007	0.026327	9.246905	154
425148.425373	240.993668	0.026380	9.135313	155
425149.336706	253.446899	0.026300	9.636707	156
425150.522770	204.060150	0.026354	7.742933	157
425151.439694	227.906952	0.026312	8.661622	158
425152.593692	216.574783	0.026325	8.226970	159
425153.516406	222.709747	0.026338	8.455771	160
425154.690323	194.004837	0.026335	7.366860	161
425155.603397	197.631378	0.026332	7.505334	162
425156.760611	191.624222	0.026378	7.264463	163
425157.665885	245.317368	0.026329	9.317250	164
425158.836627	207.474503	0.026331	7.879560	165
425159.777853	155.194641	0.026317	5.897193	166
425160.911395	207.839523	0.026356	7.885710	167
425161.842825	191.445724	0.026349	7.265857	168
425162.974673	234.048798	0.026345	8.884136	169
425163.926192	191.126755	0.026330	7.258761	170
425165.071508	185.658829	0.026374	7.039417	171
425165.988986	235.736603	0.026327	8.954330	172
425167.137883	401.326447	0.026336	15.238606	173
425168.100703	122.542580	0.026322	4.655555	174
425169.212061	227.633942	0.026335	8.643689	175
425170.162237	168.202728	0.026283	6.399643	176
425171.283063	241.443481	0.026349	9.163419	177
425172.214178	272.966095	0.026332	10.366295	178
425173.362496	249.135208	0.026334	9.460686	179
425174.319568	156.665039	0.026323	5.951564	180
425175.445150	226.528122	0.026371	8.590204	181
425176.393612	163.862228	0.026323	6.224953	182
425177.524631	220.689575	0.026369	8.369354	183
425178.510936	55.565216	0.026350	2.108777	184
425179.600890	223.216721	0.026347	8.472298	185
425180.525362	292.132843	0.026398	11.066385	186
425181.698568	132.516647	0.026341	5.030831	187
425182.653123	88.886299	0.026320	3.377202	188
425183.751457	227.060989	0.026366	8.612015	189
425184.700440	190.071884	0.026282	7.231950	190
425185.826791	228.709335	0.026346	8.680963	191
425186.771113	216.982925	0.026333	8.240114	192
425187.912185	209.339432	0.026351	7.944205	193
425188.861263	168.910919	0.026320	6.417523	194
425190.044602	48.716927	0.026373	1.847211	195
425190.926849	223.880203	0.026318	8.506752	196
425192.074347	155.556946	0.026328	5.908492	197
425193.592916	-913.816223	0.026338	-34.696354	198
425194.166232	106.727776	0.026358	4.049184	199
425195.073803	255.241379	0.026310	9.701479	200
425196.221165	173.948242	0.026346	6.602407	201
425197.186625	107.934898	0.026302	4.103650	202
425198.292118	193.510025	0.026366	7.339424	203
425199.223567	289.831848	0.026303	11.018897	204
425200.365187	226.873276	0.026357	8.607754	205
425201.345969	85.084389	0.026326	3.231925	206
425202.433796	253.798203	0.026302	9.649284	207
425203.403929	156.324036	0.026326	5.937972	208
425204.505091	287.188385	0.026336	10.904925	209
425205.475759	185.242691	0.026298	7.043870	210
425206.603152	187.756073	0.026330	7.130879	211
425207.573455	99.202591	0.026286	3.773947	212
425208.672110	224.993423	0.026373	8.531219	213
425209.622732	207.842377	0.026273	7.910904	214
425210.750613	211.674332	0.026323	8.041374	215
425211.727260	97.028175	0.026353	3.681920	216
425212.822439	224.392990	0.026355	8.514338	217
425213.846844	20.010626	0.026383	0.758457	218
425214.927376	114.318466	0.026352	4.338198	219
425215.849568	254.916885	0.026282	9.699205	220
425216.977467	214.935333	0.026330	8.163106	221
425217.945536	159.874435	0.026336	6.070604	222
425219.066802	158.235672	0.026337	6.008187	223
425220.004299	248.953522	0.026316	9.460292	224
425221.123041	251.825134	0.026328	9.564837	225
425222.120573	76.827019	0.026312	2.919894	226
425223.250272	76.210236	0.026356	2.891609	227
425224.191892	91.039948	0.026261	3.466778	228
425225.299463	139.553131	0.026334	5.299376	229
425226.251018	150.335266	0.026306	5.714836	230
425227.378765	140.406479	0.026324	5.333714	231
425228.359811	11.223679	0.026329	0.426279	232
425229.462124	109.432686	0.026340	4.154583	233
425230.411935	121.983551	0.026332	4.632592	234
425231.525485	142.979736	0.026332	5.429906	235
425232.461322	265.849335	0.026308	10.105105	236
425233.589662	184.995758	0.026324	7.027517	237
425234.553929	162.232666	0.026331	6.161232	238
425235.687616	110.471039	0.026361	4.190704	239
425236.652134	80.742355	0.026337	3.065776	240
425237.768425	90.694374	0.026314	3.446564	241
425238.712663	157.687698	0.026294	5.997135	242
425239.854624	72.057121	0.026346	2.735061	243
425240.791932	124.656403	0.026330	4.734411	244
425241.937671	52.952793	0.026354	2.009308	245
425242.848998	202.123947	0.026332	7.676101	246
425243.958172	220.373871	0.026346	8.364553	247
425244.928048	201.908264	0.026289	7.680429	248
425246.076205	82.037872	0.026323	3.116550	249
425247.025995	97.972260	0.026304	3.724648	250
425248.140096	114.368919	0.026322	4.344959	251
425249.075895	209.479721	0.026307	7.963008	252
425250.190361	182.256104	0.026324	6.923545	253
425251.186759	65.918541	0.026309	2.505576	254
425252.293493	87.592972	0.026312	3.329007	255
425253.250651	107.973900	0.026265	4.110915	0
