num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
7181	8456.587178	36.997386	-1.451255	-1.408933	2.594519
7183	8458.667007	36.929091	-1.420218	-1.409513	2.561797
7185	8460.740572	36.870396	-1.404356	-1.409963	2.583296
7187	8462.824521	37.703089	-1.321998	-1.399737	2.734564
7189	8464.909173	40.025423	-1.132274	-1.408053	2.475830
7191	8466.998767	41.527106	-1.162386	-1.414247	3.099352
7193	8469.083893	42.498467	-1.143187	-1.409581	3.838485
7195	8471.165321	44.705283	-1.155081	-1.414429	3.896821
7197	8473.245704	45.581453	-0.989800	-1.408491	4.243241
7199	8475.324476	47.097342	-0.888577	-1.397680	4.196559
7201	8477.403956	49.465865	-0.754549	-1.405739	4.121519
7203	8479.483112	50.078983	-0.818286	-1.405264	4.481799
7205	8481.561158	52.044119	-0.544747	-1.403318	5.019215
7207	8483.639929	52.727002	-0.745319	-1.401940	5.541876
7209	8485.719362	54.037575	-0.683376	-1.402198	5.454992
7211	8487.797689	55.025728	-6.464389	-1.356196	5.617826
7213	8489.878070	56.926661	-0.468274	-1.406363	5.909521
7215	8491.957246	57.867515	-0.301641	-1.401678	6.345303
7217	8494.037698	58.468127	-0.532729	-1.402406	6.572399
7219	8496.116704	59.848423	-0.348304	-1.404067	6.696757
7221	8498.196508	60.474986	-6.268378	-1.364700	6.865968
7223	8500.276068	61.384315	-0.426284	-1.397924	7.352422
7225	8502.356634	62.324260	-0.379284	-1.406329	7.319152
7227	8504.436939	62.736137	-6.697488	-1.361317	7.744962
7229	8506.517601	64.058848	-0.378892	-1.403433	7.796454
7231	8508.597351	64.509658	-0.190987	-1.406439	8.241333
7233	8510.677413	65.290480	-0.200190	-1.405316	7.841332
7235	8512.757133	65.842938	-5.459780	-1.378173	8.024951
7237	8514.835540	66.663818	-0.042067	-1.403080	8.534373
7239	8516.913173	68.050248	-0.166947	-1.401500	8.634845
7241	8518.990371	68.137494	-0.001160	-1.402726	8.855271
7243	8521.068096	69.096936	2.782200	-1.384635	8.873784
7245	8523.144623	68.896525	-0.039928	-1.405640	9.242308
7247	8525.221051	69.575479	-0.042750	-1.404723	9.132479
7249	8527.297966	70.298058	0.107774	-1.410080	9.610102
7251	8529.374891	70.751318	4.012229	-1.395024	9.551588
7253	8531.451912	71.253314	0.321933	-1.407906	9.845801
7255	8533.529580	71.810640	0.374496	-1.407332	9.791947
7257	8535.607668	71.711380	0.087409	-1.407777	9.960230
7259	8537.685830	78.614920	-2.012219	-1.392239	9.830008
7261	8539.764041	72.593398	0.134717	-1.406661	10.138852
7263	8541.842142	73.045799	-0.008619	-1.409750	10.085549
7265	8543.920077	73.717982	0.380397	-1.412644	10.144052
7267	8545.997731	74.016678	0.419062	-1.412515	10.434119
7269	8548.075024	74.884412	0.561168	-1.407180	10.563957
7271	8550.151904	74.853045	0.478364	-1.412302	10.664865
7273	8552.227969	74.692323	0.160493	-1.409504	10.550651
7275	8554.303933	75.089046	0.112174	-1.410326	10.675660
7277	8556.379611	76.228999	0.650643	-1.409531	10.882888
7279	8558.455105	75.857464	0.540202	-1.410210	10.691222
7281	8560.531044	77.077712	0.634028	-1.409561	11.067208
7283	8562.606648	77.377012	0.598264	-1.409469	11.549849
7285	8564.681786	76.325709	2.782163	-1.394179	11.253231
7287	8566.757061	77.576150	2.841661	-1.397224	11.572718
7289	8568.833973	77.680433	0.714267	-1.408165	11.400571
7291	8570.910706	78.065708	0.720008	-1.408454	11.516547
7293	8572.987660	77.603643	0.765865	-1.407416	11.180103
7295	8575.065119	77.315412	-1.096603	-1.385998	11.312640
7297	8577.142624	78.133711	2.722960	-1.395779	11.396603
7299	8579.220172	78.318426	0.834417	-1.412519	11.870892
7301	8581.298592	79.427233	1.073422	-1.408510	11.895138
7303	8583.378912	78.195122	0.717119	-1.415787	12.235936
7305	8585.457459	78.778564	-4.620181	-1.378881	11.483873
7307	8587.535495	78.929175	0.961121	-1.408454	11.604567
7309	8589.613180	80.318971	1.082407	-1.412449	12.025305
7311	8591.691062	79.274479	3.274679	-1.394986	11.972970
7313	8593.768101	80.455873	1.265524	-1.409934	12.229808
7313	8593.768101	80.631026	1.197411	-1.409198	12.161039
7315	8605.972825	67.866330	-0.228899	1.853925	12.161039
7317	8607.809983	29.861068	-11.449320	0.799707	5.714622
7319	8609.925403	29.310438	-11.407946	0.740887	4.382366
7321	8611.963911	30.172656	-11.195532	0.788287	2.935629
7323	8614.070669	29.562974	-11.168745	0.760679	4.389678
7325	8616.103783	29.957495	-11.191375	0.812196	4.016869
7327	8618.189844	29.532206	-11.223556	0.815034	0.898755
7329	8620.250431	29.703814	-11.275388	0.813399	2.488091
7331	8622.363097	29.099972	-11.350035	0.776500	2.102041
7333	8624.412906	29.569374	-11.221017	0.797927	2.737462
7335	8626.522234	29.147857	-11.323827	0.752037	2.349398
7337	8628.573807	29.610073	-11.198446	0.796140	1.799548
7339	8630.664339	29.335999	-11.282876	0.768648	1.922858
