crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.506709	7419	0.000000
281474976710655.000000	2.352403	7420	0.000000
281474976710655.000000	2.307578	7421	0.000000
281474976710655.000000	2.408409	7422	0.000000
281474976710655.000000	2.515543	7423	0.000000
281474976710655.000000	2.438963	7424	8724868096.000000
281474976710655.000000	2.502069	7425	8725921792.000000
281474976710655.000000	2.688751	7426	8726951936.000000
281474976710655.000000	2.736688	7427	8728002560.000000
281474976710655.000000	2.862221	7428	8729033728.000000
281474976710655.000000	2.998854	7429	8730086400.000000
281474976710655.000000	3.166326	7430	8731118592.000000
281474976710655.000000	3.284324	7431	8732165120.000000
281474976710655.000000	3.449848	7432	8733200384.000000
281474976710655.000000	3.479000	7433	8734247936.000000
281474976710655.000000	3.868296	7434	8735286272.000000
281474976710655.000000	3.968017	7435	8736327680.000000
281474976710655.000000	4.155922	7436	8737368064.000000
281474976710655.000000	4.158468	7437	8738409472.000000
281474976710655.000000	4.312907	7438	8739452928.000000
281474976710655.000000	4.580602	7439	8740490240.000000
281474976710655.000000	4.540006	7440	8741533696.000000
281474976710655.000000	4.647838	7441	8742572032.000000
281474976710655.000000	4.747110	7442	8743613440.000000
281474976710655.000000	4.924099	7443	8744653824.000000
281474976710655.000000	5.142051	7444	8745693184.000000
281474976710655.000000	5.001895	7445	8746735616.000000
281474976710655.000000	5.332590	7446	8747771904.000000
281474976710655.000000	5.369778	7447	8748818432.000000
281474976710655.000000	5.548773	7448	8749850624.000000
281474976710655.000000	5.805255	7449	8750900224.000000
281474976710655.000000	5.800350	7450	8751928320.000000
281474976710655.000000	6.022666	7451	8752982016.000000
281474976710655.000000	5.712284	7452	8754007040.000000
281474976710655.000000	6.504181	7453	8755063808.000000
281474976710655.000000	6.329565	7454	8756084736.000000
281474976710655.000000	6.500270	7455	8757143552.000000
281474976710655.000000	6.444497	7456	8758164480.000000
281474976710655.000000	6.678743	7457	8759223296.000000
281474976710655.000000	6.715919	7458	8760244224.000000
281474976710655.000000	6.766734	7459	8761302016.000000
281474976710655.000000	6.751488	7460	8762323968.000000
281474976710655.000000	7.100553	7461	8763379712.000000
281474976710655.000000	7.063999	7462	8764401664.000000
281474976710655.000000	7.217714	7463	8765458432.000000
281474976710655.000000	7.314111	7464	8766481408.000000
281474976710655.000000	7.612443	7465	8767537152.000000
281474976710655.000000	7.524734	7466	8768560128.000000
281474976710655.000000	7.786195	7467	8769614848.000000
281474976710655.000000	7.726320	7468	8770638848.000000
281474976710655.000000	7.934461	7469	8771693568.000000
281474976710655.000000	8.002602	7470	8772716544.000000
281474976710655.000000	7.965848	7471	8773771264.000000
281474976710655.000000	7.893925	7472	8774794240.000000
281474976710655.000000	8.398072	7473	8775849984.000000
281474976710655.000000	8.444095	7474	8776872960.000000
281474976710655.000000	7.845545	7475	8777927680.000000
281474976710655.000000	7.942856	7476	8778950656.000000
281474976710655.000000	8.979083	7477	8780005376.000000
281474976710655.000000	8.673527	7478	8781028352.000000
281474976710655.000000	8.325915	7479	8782083072.000000
281474976710655.000000	8.396377	7480	8783107072.000000
281474976710655.000000	9.095279	7481	8784159744.000000
281474976710655.000000	8.689684	7482	8785185792.000000
281474976710655.000000	8.796285	7483	8786236416.000000
281474976710655.000000	8.252216	7484	8787264512.000000
281474976710655.000000	9.469388	7485	8788312064.000000
281474976710655.000000	9.068692	7486	8789344256.000000
281474976710655.000000	9.966953	7487	8790388736.000000
281474976710655.000000	8.905347	7488	8791422976.000000
281474976710655.000000	9.795320	7489	8792465408.000000
281474976710655.000000	9.482798	7490	8793501696.000000
281474976710655.000000	9.187551	7491	8794541056.000000
281474976710655.000000	9.727570	7492	8795579392.000000
281474976710655.000000	9.743618	7493	8796618752.000000
281474976710655.000000	9.692495	7494	8797658112.000000
281474976710655.000000	9.790472	7495	8798695424.000000
281474976710655.000000	9.685586	7496	8799734784.000000
281474976710655.000000	10.054234	7497	8800772096.000000
281474976710655.000000	10.608086	7498	8801812480.000000
281474976710655.000000	10.632550	7499	8802849792.000000
281474976710655.000000	10.364508	7500	8803890176.000000
281474976710655.000000	10.105179	7501	8804926464.000000
281474976710655.000000	11.062752	7502	8805966848.000000
281474976710655.000000	10.429931	7503	8807004160.000000
281474976710655.000000	10.258922	7504	8808043520.000000
281474976710655.000000	10.881862	7505	8809080832.000000
281474976710655.000000	11.888408	7506	8810120192.000000
281474976710655.000000	10.817332	7507	8811158528.000000
281474976710655.000000	11.431370	7508	8812197888.000000
281474976710655.000000	11.629751	7509	8813235200.000000
281474976710655.000000	11.565820	7510	8814275584.000000
281474976710655.000000	9.873649	7511	8815312896.000000
281474976710655.000000	11.035738	7512	8816352256.000000
281474976710655.000000	10.221498	7513	8817389568.000000
281474976710655.000000	11.607001	7514	8818428928.000000
281474976710655.000000	10.945646	7515	8819466240.000000
281474976710655.000000	12.956002	7516	8820505600.000000
281474976710655.000000	10.206254	7517	8821543936.000000
281474976710655.000000	12.063415	7518	8822582272.000000
281474976710655.000000	10.713326	7519	8823621632.000000
281474976710655.000000	11.238899	7520	8824658944.000000
281474976710655.000000	12.022237	7521	8825698304.000000
281474976710655.000000	11.990120	7522	8826735616.000000
281474976710655.000000	11.376509	7523	8827777024.000000
281474976710655.000000	9.763371	7524	8828811264.000000
281474976710655.000000	11.751262	7525	8829854720.000000
281474976710655.000000	11.486636	7526	8830886912.000000
281474976710655.000000	11.293210	7527	8831932416.000000
281474976710655.000000	9.859428	7528	8832962560.000000
281474976710655.000000	11.492766	7529	8834011136.000000
281474976710655.000000	10.997387	7530	8835038208.000000
281474976710655.000000	10.882834	7531	8836088832.000000
281474976710655.000000	12.471076	7532	8837114880.000000
281474976710655.000000	11.808166	7533	8838165504.000000
281474976710655.000000	12.473950	7534	8839191552.000000
281474976710655.000000	11.448546	7535	8840243200.000000
281474976710655.000000	13.392966	7536	8841267200.000000
281474976710655.000000	11.339544	7537	8842319872.000000
281474976710655.000000	10.726741	7538	8843343872.000000
281474976710655.000000	11.531602	7539	8844397568.000000
281474976710655.000000	11.537768	7540	8845421568.000000
281474976710655.000000	11.466543	7541	8846474240.000000
281474976710655.000000	10.889997	7542	8847498240.000000
281474976710655.000000	11.925355	7543	8848550912.000000
281474976710655.000000	13.233849	7544	8849574912.000000
281474976710655.000000	11.475327	7545	8850627584.000000
281474976710655.000000	10.624338	7546	8851652608.000000
281474976710655.000000	11.381447	7547	8852704256.000000
281474976710655.000000	13.326682	7548	8853728256.000000
281474976710655.000000	11.001275	7549	8854780928.000000
281474976710655.000000	11.362366	7550	8855805952.000000
281474976710655.000000	11.838279	7551	8856857600.000000
281474976710655.000000	11.983665	7552	8857882624.000000
281474976710655.000000	12.256164	7553	0.000000
281474976710655.000000	10.641368	7554	0.000000
