num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5359	6506.829295	34.441433	0.902505	1.708901	2.591530
5361	6508.905430	34.355433	0.911985	1.709997	1.881309
5363	6510.974351	34.368943	0.921263	1.707744	2.228076
5365	6513.049942	34.266801	0.913048	1.706748	2.143768
5367	6515.122607	34.283115	0.968909	1.704256	2.504110
5369	6517.192249	34.166903	0.942642	1.703895	2.067788
5371	6519.264795	34.139245	0.979775	1.702948	2.284652
5373	6521.335813	34.045451	1.134905	1.703062	2.064012
5375	6523.410293	35.876626	0.911818	1.734616	2.787927
5377	6525.491540	36.215386	1.123250	1.700155	2.523449
5379	6527.569306	37.223422	1.214754	1.702047	2.917026
5381	6529.649251	39.686376	2.353983	1.742232	2.743788
5383	6531.727672	39.339177	1.123043	1.697575	3.229671
5385	6533.810065	40.584702	1.106157	1.696805	2.983921
5387	6535.888848	41.696235	1.010134	1.696091	3.274779
5389	6537.969263	43.142035	0.884688	1.710412	3.620841
5391	6540.049003	44.020598	0.961766	1.693918	3.460180
5393	6542.127671	45.179248	0.951526	1.693218	3.974954
5395	6544.207378	46.349208	0.952306	1.692204	3.808781
5397	6546.284314	47.513784	0.955670	1.691764	4.550037
5399	6548.364817	49.243391	5.291193	1.667803	4.242626
5401	6550.441541	49.830426	1.049577	1.690551	5.021882
5403	6552.521325	50.985906	0.936331	1.690093	4.546650
5405	6554.599059	52.112902	0.955782	1.689312	5.072263
5407	6556.679563	53.146719	0.835969	1.687776	5.226592
5409	6558.758667	54.302109	1.067200	1.686653	5.341489
5411	6560.839885	55.267589	0.893724	1.687437	5.651736
5413	6562.919858	57.852452	2.692983	1.717631	5.750267
5415	6565.000958	59.642503	2.520708	1.716524	6.169194
5417	6567.080751	58.630683	1.142475	1.686035	6.175317
5419	6569.161463	61.197250	2.579454	1.712339	6.364537
5421	6571.240659	60.719598	1.109042	1.679352	7.082789
5423	6573.320044	61.518291	7.636666	1.645004	6.728071
5425	6575.398378	63.711750	2.791066	1.706375	7.070810
5427	6577.476895	64.753919	1.178096	1.701239	7.154646
5429	6579.554305	64.307869	1.088735	1.683296	7.640803
5431	6581.631915	65.487047	1.248132	1.677667	7.599080
5433	6583.708765	66.384280	1.144287	1.677547	8.061800
5435	6585.785278	68.013892	7.866296	1.641563	8.227211
5437	6587.861350	69.074839	2.920984	1.703383	8.542809
5439	6589.937169	68.785011	1.273934	1.675184	8.749419
5441	6592.013033	70.773170	8.024143	1.631900	8.869431
5443	6594.088860	69.857534	1.377623	1.682256	8.627133
5445	6596.164615	70.407721	1.427768	1.682378	9.280283
5447	6598.241008	71.523349	1.324865	1.673368	9.265472
5449	6600.317011	72.617112	1.508310	1.681070	9.524752
5451	6602.394394	72.688514	1.371664	1.673629	9.224295
5453	6604.471145	72.714085	1.461163	1.683588	9.721182
5455	6606.548655	73.556157	1.339463	1.681100	10.099084
5457	6608.626176	74.416456	4.032229	1.698079	10.521617
5459	6610.703743	74.743487	1.347329	1.679915	10.440616
5461	6612.781084	76.486303	3.536245	1.696012	10.381452
5463	6614.858237	75.875324	1.320156	1.678871	10.935047
5465	6616.935386	76.624564	1.574962	1.676894	10.688462
5467	6619.012167	77.690706	1.899183	1.682141	11.017627
5469	6621.089134	77.769092	1.636015	1.674059	11.084065
5471	6623.165749	78.249795	1.667586	1.674089	11.234334
5473	6625.242650	78.048232	1.614779	1.681818	11.266927
5475	6627.319299	80.657817	2.200024	1.690093	11.409649
5477	6629.396324	80.952475	5.761409	1.655612	11.482512
5479	6631.473348	79.541081	3.842426	1.696516	11.772720
5481	6633.551008	80.296332	1.918083	1.674605	11.795909
5483	6635.628696	82.002076	7.830388	1.649138	12.080403
5485	6637.706810	81.286736	3.374489	1.697659	12.006940
5487	6639.784822	83.253582	2.211559	1.691633	12.119990
5489	6641.863059	84.180625	8.744504	1.636995	12.122792
5491	6643.941133	81.243377	3.524377	1.694509	12.715044
5493	6646.019193	82.631004	2.019200	1.673041	12.638547
5495	6648.096818	84.947810	8.936226	1.639665	12.593848
5497	6650.174172	82.253495	3.789770	1.691824	12.803230
5499	6652.251413	83.265418	2.081308	1.677193	12.838374
5501	6654.328267	84.161021	2.182535	1.672705	13.301460
5503	6656.404969	83.996073	2.137165	1.676976	13.212639
5505	6658.481412	84.236787	2.146417	1.677020	13.551903
5507	6660.557679	85.097673	2.279917	1.672567	13.688818
