crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.804166	6170	0.000000
281474976710655.000000	1.798351	6171	0.000000
281474976710655.000000	1.830841	6172	0.000000
281474976710655.000000	1.789108	6173	0.000000
281474976710655.000000	1.767153	6174	0.000000
281474976710655.000000	1.792398	6175	7372484608.000000
281474976710655.000000	1.894516	6176	7373539840.000000
281474976710655.000000	1.953961	6177	7374571008.000000
281474976710655.000000	1.850606	6178	7375616000.000000
281474976710655.000000	2.032655	6179	7376653312.000000
281474976710655.000000	2.149104	6180	7377694208.000000
281474976710655.000000	2.169959	6181	7378735104.000000
281474976710655.000000	2.181499	6182	7379771392.000000
281474976710655.000000	2.223774	6183	7380816384.000000
281474976710655.000000	2.278154	6184	7381851136.000000
281474976710655.000000	2.459903	6185	7382896640.000000
281474976710655.000000	2.532423	6186	7383930880.000000
281474976710655.000000	2.540211	6187	7384974336.000000
281474976710655.000000	2.672821	6188	7386013696.000000
281474976710655.000000	2.735489	6189	7387051008.000000
281474976710655.000000	2.740654	6190	7388096512.000000
281474976710655.000000	3.022932	6191	7389128192.000000
281474976710655.000000	2.845648	6192	7390177792.000000
281474976710655.000000	2.954357	6193	7391204864.000000
281474976710655.000000	3.058867	6194	7392259584.000000
281474976710655.000000	3.125629	6195	7393282560.000000
281474976710655.000000	3.263943	6196	7394341376.000000
281474976710655.000000	3.367301	6197	7395359744.000000
281474976710655.000000	3.307472	6198	7396421632.000000
281474976710655.000000	3.528601	6199	7397440000.000000
281474976710655.000000	3.595608	6200	7398501376.000000
281474976710655.000000	3.706792	6201	7399518720.000000
281474976710655.000000	3.720911	6202	7400581120.000000
281474976710655.000000	3.856162	6203	7401599488.000000
281474976710655.000000	4.019881	6204	7402660864.000000
281474976710655.000000	4.157165	6205	7403678720.000000
281474976710655.000000	4.037798	6206	7404740096.000000
281474976710655.000000	4.350540	6207	7405759488.000000
281474976710655.000000	4.500248	6208	7406818304.000000
281474976710655.000000	4.611567	6209	7407838208.000000
281474976710655.000000	4.429005	6210	7408897536.000000
281474976710655.000000	4.665571	6211	7409918976.000000
281474976710655.000000	4.987289	6212	7410975744.000000
281474976710655.000000	4.979918	6213	7411998720.000000
281474976710655.000000	5.013508	6214	7413053952.000000
281474976710655.000000	5.180234	6215	7414080000.000000
281474976710655.000000	5.352299	6216	7415131136.000000
281474976710655.000000	5.361469	6217	7416161280.000000
281474976710655.000000	5.649182	6218	7417207296.000000
281474976710655.000000	5.499316	6219	7418243072.000000
281474976710655.000000	5.882897	6220	7419283968.000000
281474976710655.000000	5.741420	6221	7420324864.000000
281474976710655.000000	6.418880	6222	7421361664.000000
281474976710655.000000	6.039777	6223	7422404096.000000
281474976710655.000000	6.155659	6224	7423438848.000000
281474976710655.000000	6.427521	6225	7424483840.000000
281474976710655.000000	6.600587	6226	7425517056.000000
281474976710655.000000	6.650197	6227	7426561536.000000
281474976710655.000000	6.629606	6228	7427595776.000000
281474976710655.000000	6.998977	6229	7428639744.000000
281474976710655.000000	7.247212	6230	7429675520.000000
281474976710655.000000	7.261410	6231	7430715904.000000
281474976710655.000000	6.915510	6232	7431755776.000000
281474976710655.000000	7.273586	6233	7432793088.000000
281474976710655.000000	7.294986	6234	7433835520.000000
281474976710655.000000	7.850940	6235	7434869760.000000
281474976710655.000000	7.487267	6236	7435915264.000000
281474976710655.000000	7.489130	6237	7436946944.000000
281474976710655.000000	7.644900	6238	7437993984.000000
281474976710655.000000	8.225366	6239	7439024640.000000
281474976710655.000000	7.955945	6240	7440072704.000000
281474976710655.000000	8.410439	6241	7441102336.000000
281474976710655.000000	8.200174	6242	7442150400.000000
281474976710655.000000	8.528022	6243	7443180032.000000
281474976710655.000000	8.343702	6244	7444228608.000000
281474976710655.000000	8.494847	6245	7445258240.000000
281474976710655.000000	8.687346	6246	7446305280.000000
281474976710655.000000	8.304612	6247	7447336448.000000
281474976710655.000000	8.170022	6248	7448382464.000000
281474976710655.000000	9.023761	6249	7449415168.000000
281474976710655.000000	8.801422	6250	7450459136.000000
281474976710655.000000	9.436653	6251	7451493888.000000
281474976710655.000000	9.015471	6252	7452535808.000000
281474976710655.000000	8.715163	6253	7453572608.000000
281474976710655.000000	9.288413	6254	7454611968.000000
281474976710655.000000	8.476871	6255	7455651328.000000
281474976710655.000000	8.801347	6256	7456688128.000000
281474976710655.000000	9.323552	6257	7457730560.000000
281474976710655.000000	10.698842	6258	7458764800.000000
281474976710655.000000	9.614077	6259	7459808768.000000
281474976710655.000000	9.565207	6260	7460840448.000000
281474976710655.000000	10.649615	6261	7461885952.000000
281474976710655.000000	10.477441	6262	7462919680.000000
281474976710655.000000	8.656429	6263	7463963136.000000
281474976710655.000000	11.949800	6264	7464997888.000000
281474976710655.000000	10.200909	6265	7466039296.000000
281474976710655.000000	10.063548	6266	7467077120.000000
281474976710655.000000	9.758510	6267	7468114944.000000
281474976710655.000000	10.414155	6268	7469156352.000000
281474976710655.000000	10.500460	6269	7470190592.000000
281474976710655.000000	10.586007	6270	7471234560.000000
281474976710655.000000	10.865974	6271	7472266752.000000
281474976710655.000000	11.460227	6272	7473313792.000000
281474976710655.000000	12.253684	6273	7474342912.000000
281474976710655.000000	11.561596	6274	7475391488.000000
281474976710655.000000	11.658147	6275	7476419072.000000
281474976710655.000000	12.233013	6276	7477469184.000000
281474976710655.000000	10.458204	6277	7478496768.000000
281474976710655.000000	12.061100	6278	7479546880.000000
281474976710655.000000	13.536545	6279	7480573440.000000
281474976710655.000000	11.788147	6280	7481624064.000000
281474976710655.000000	10.928203	6281	7482650624.000000
281474976710655.000000	9.856051	6282	7483701248.000000
281474976710655.000000	11.616844	6283	7484727808.000000
281474976710655.000000	10.234802	6284	7485778432.000000
281474976710655.000000	12.131470	6285	7486805504.000000
281474976710655.000000	11.884271	6286	7487855104.000000
281474976710655.000000	12.917942	6287	7488882688.000000
281474976710655.000000	11.790038	6288	7489931264.000000
281474976710655.000000	12.473496	6289	7490960384.000000
281474976710655.000000	13.989297	6290	7492007424.000000
281474976710655.000000	13.212528	6291	7493038080.000000
281474976710655.000000	10.800257	6292	7494083584.000000
281474976710655.000000	13.763419	6293	7495116288.000000
281474976710655.000000	12.035591	6294	7496159744.000000
281474976710655.000000	10.777671	6295	7497195008.000000
281474976710655.000000	10.645658	6296	7498234880.000000
281474976710655.000000	11.175661	6297	7499273216.000000
281474976710655.000000	13.992760	6298	7500311040.000000
281474976710655.000000	10.776855	6299	7501351424.000000
281474976710655.000000	14.875839	6300	7502386688.000000
281474976710655.000000	10.379766	6301	7503429120.000000
281474976710655.000000	10.582881	6302	7504463360.000000
281474976710655.000000	13.035189	6303	7505506816.000000
281474976710655.000000	10.413975	6304	7506540544.000000
281474976710655.000000	12.657660	6305	7507582976.000000
281474976710655.000000	11.995323	6306	7508617728.000000
281474976710655.000000	14.136765	6307	7509659648.000000
281474976710655.000000	12.361286	6308	7510695424.000000
281474976710655.000000	12.235828	6309	7511735296.000000
281474976710655.000000	12.739309	6310	7512773120.000000
281474976710655.000000	12.129457	6311	7513811968.000000
281474976710655.000000	11.795132	6312	7514850816.000000
281474976710655.000000	11.426232	6313	7515888128.000000
281474976710655.000000	12.389874	6314	7516928512.000000
281474976710655.000000	11.658516	6315	7517964288.000000
281474976710655.000000	11.022247	6316	7519005696.000000
281474976710655.000000	15.824142	6317	7520040960.000000
281474976710655.000000	13.034493	6318	7521082880.000000
281474976710655.000000	15.255157	6319	7522117632.000000
281474976710655.000000	12.867629	6320	7523160064.000000
281474976710655.000000	13.006382	6321	7524194304.000000
281474976710655.000000	16.685192	6322	7525236736.000000
281474976710655.000000	11.379410	6323	7526271488.000000
281474976710655.000000	12.905239	6324	7527312896.000000
281474976710655.000000	13.562778	6325	7528348672.000000
281474976710655.000000	12.076103	6326	7529389056.000000
281474976710655.000000	12.461406	6327	7530426368.000000
281474976710655.000000	13.085811	6328	7531465728.000000
281474976710655.000000	12.457948	6329	7532504064.000000
281474976710655.000000	12.717646	6330	7533541376.000000
281474976710655.000000	11.754838	6331	7534581760.000000
281474976710655.000000	12.449460	6332	7535618048.000000
281474976710655.000000	11.633168	6333	7536658944.000000
281474976710655.000000	14.828307	6334	7537694208.000000
281474976710655.000000	13.785227	6335	7538736128.000000
281474976710655.000000	11.943996	6336	7539770880.000000
281474976710655.000000	13.157831	6337	7540812800.000000
281474976710655.000000	11.812924	6338	7541848064.000000
281474976710655.000000	12.445974	6339	7542889472.000000
281474976710655.000000	14.421382	6340	7543925248.000000
281474976710655.000000	12.370400	6341	7544965632.000000
281474976710655.000000	12.725220	6342	7546002944.000000
281474976710655.000000	14.369219	6343	7547041792.000000
281474976710655.000000	12.032807	6344	7548080640.000000
281474976710655.000000	17.016027	6345	7549117440.000000
281474976710655.000000	11.670891	6346	7550158848.000000
281474976710655.000000	12.869390	6347	7551193088.000000
281474976710655.000000	15.637105	6348	7552236544.000000
281474976710655.000000	12.804860	6349	7553269248.000000
281474976710655.000000	15.749604	6350	7554314240.000000
281474976710655.000000	14.558819	6351	7555345408.000000
281474976710655.000000	11.800716	6352	7556391424.000000
281474976710655.000000	17.287539	6353	7557422080.000000
281474976710655.000000	16.384371	6354	7558468608.000000
281474976710655.000000	12.608133	6355	7559498752.000000
281474976710655.000000	15.446122	6356	7560545792.000000
281474976710655.000000	15.149673	6357	7561575424.000000
281474976710655.000000	13.838049	6358	7562622976.000000
281474976710655.000000	15.668022	6359	7563652096.000000
281474976710655.000000	15.209668	6360	7564699136.000000
281474976710655.000000	20.502216	6361	7565729280.000000
